Car Names,Years of Production,Number Of,BodyStyles
   Abarth 500 1.4 16v T-Jet,2008 - 2012,3,"Hatchback
"
   Abarth 500C 1.4 16v T-Jet,2011 - 2012,3,"Convertible
"
   Abarth Grande Punto 1.4 T-Jet 16v,2008 - 2010,3,"Hatchback
"
   Abarth Punto Evo 1.4 T-Jet 16v,2010 - 2013,3,"Hatchback
"
   Alfa Romeo 145 1.4 i.e. Basis,1996 - 1997,3,"Hatchback
"
   Alfa Romeo 145 1.4 Twin Spark 16V,1999 - 2000,3,"Hatchback
"
   Alfa Romeo 146 1.4 i.e. Basis,1996 - 1997,5,"Hatchback
"
   Alfa Romeo 146 1.4 Twin Spark 16V,1999 - 2000,5,"Hatchback
"
   Alfa Romeo 147 1.6 T.Spark 16V Impression,2003 - 2005,3,"Hatchback
"
   Alfa Romeo 147 1.6 T.Spark 16V Impression,2005 - 2007,3,"Hatchback
"
   Alfa Romeo 147 1.6 T.Spark 16V Impression,2007 - 2009,3,"Hatchback
"
   Alfa Romeo 147 1.6 T.Spark 16V Impression,2003 - 2005,5,"Hatchback
"
   Alfa Romeo 147 1.6 T.Spark 16V Impression,2005 - 2007,5,"Hatchback
"
   Alfa Romeo 147 1.6 T.Spark 16V Impression,2007 - 2010,5,"Hatchback
"
   Alfa Romeo 155 1.7 Twin Spark,1993 - 1995,4,"Sedan
"
   Alfa Romeo 155 1.6 Twin Spark 16V,1996 - 1997,4,"Sedan
"
   Alfa Romeo 156 1.6 T.Spark 16V,1997 - 2002,4,"Sedan
"
   Alfa Romeo 156 1.6 T.Spark 16V Progression,2002 - 2003,4,"Sedan
"
   Alfa Romeo 156 1.6 T.Spark 16V Impression,2003 - 2005,4,"Sedan
"
   Alfa Romeo 156 Sportwagon 1.6 T.Spark 16V,2000 - 2002,5,"Station wagon
"
   Alfa Romeo 156 Sportwagon 1.6 T.Spark 16V Progression,2002 - 2003,5,"Station wagon
"
   Alfa Romeo 156 Sportwagon 1.6 T.Spark 16V Impression,2003 - 2005,5,"Station wagon
"
   Alfa Romeo Crosswagon 1.9 JTD 16V Q4 Progression,2005 - 2007,5,"Station wagon
"
   Alfa Romeo 159 1.8 mpi Impression,2006 - 2008,4,"Sedan
"
   Alfa Romeo 159 1.8 mpi,2008 - 2010,4,"Sedan
"
   Alfa Romeo 159 Sportwagon 1.8 mpi Impression,2006 - 2008,5,"Station wagon
"
   Alfa Romeo 159 Sportwagon 1.8 mpi,2008 - 2010,5,"Station wagon
"
   Alfa Romeo 164 2.0 Twin Spark,1988 - 1989,4,"Sedan
"
   Alfa Romeo 164 2.0 Twin Spark,1993 - 1994,4,"Sedan
"
   Alfa Romeo 166 2.0 T.Spark,1999 - 2002,4,"Sedan
"
   Alfa Romeo 166 2.0 T.Spark Impression,2003 - 2007,4,"Sedan
"
   Alfa Romeo 33 1.3 Milano,1985 - 1986,5,"Hatchback
"
   Alfa Romeo 33 1.3,1986 - 1990,5,"Hatchback
"
   Alfa Romeo 33 1.3 V,1990 - 1992,5,"Hatchback
"
   Alfa Romeo 33 Giardinetta 1.5,1984 - 1985,5,"Station wagon
"
   Alfa Romeo 33 SportWagon 1.3 S,1988 - 1990,5,"Station wagon
"
   Alfa Romeo 33 SportWagon 1.4 i.e.,1992 - 1994,5,"Station wagon
"
   Alfa Romeo 75 1.6,1987 - 1989,4,"Sedan
"
   Alfa Romeo 75 1.6 i.e.,1990 - 1992,4,"Sedan
"
   Alfa Romeo Brera 2.2 JTS,2006 - 2008,3,"Coupe
"
   Alfa Romeo Brera 1750 Turbo,2009 - 2010,3,"Coupe
"
   Alfa Romeo Giulietta 1.4 Turbo 105 Progression,2012 - 2014,5,"Hatchback
"
   Alfa Romeo Giulietta 1.6,1978 - 1981,4,"Sedan
"
   Alfa Romeo Giulietta 1.6,1983 - 1985,4,"Sedan
"
   Alfa Romeo GT 1.8 T.Spark 16V Impression,2005 - 2007,3,"Coupe
"
   Alfa Romeo GT 1.8 T.Spark 16V Impression,2007 - 2008,3,"Coupe
"
   Alfa Romeo Alfetta GTV 2000 L,1976 - 1981,2,"Coupe
"
   Alfa Romeo GTV 2.0,1981 - 1986,2,"Coupe
"
,,,
,,,
,,,
   Alfa Romeo GTV 2.0 Twin Spark 16V,1995 - 1998,2,"Coupe
"
